date,value,Einwohner,UmzÃ¼ge-pro-1000-Einwohner
1991,269565,3443575,78.28
1992,280724,3456891,81.21
1993,304910,3461421,88.09
1994,327335,3452284,94.82
1995,370099,3446039,107.40
1996,400820,3428644,116.90
1997,447597,3387901,132.12
1998,453376,3358235,135.00
1999,427597,3340887,127.99
2000,409665,3331232,122.98
2001,391967,3337232,117.45
2002,380582,3336248,114.07
2003,377192,3330242,113.26
2004,382850,3333108,114.86
2005,367092,3339436,109.93
2006,354497,3348805,105.86
2007,349637,3353858,104.25
2008,333275,3362843,99.11
2009,339460,3369672,100.74
2010,319251,3387562,94.24
2011,314303,3427114,91.71
2012,300875,3469621,86.72
2013,293992,3517424,83.58